experiment,task,split,metric,mean,std,ci95_low,ci95_high,ci_method,n_seeds,seeds,values
colored_rotation_cnn,colored_rotation,validation,balanced_accuracy,0.6733333333333333,0.0037859388972001466,0.6639277806766429,0.6827388859900237,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.675, 0.6759999999999999, 0.669]"
colored_rotation_cnn,colored_rotation,validation,brier,0.21817593868965288,0.0048519964772457,0.206121938454583,0.23022993892472277,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.21710832830356197, 0.21394665393363818, 0.22347283383175848]"
colored_rotation_cnn,colored_rotation,validation,fn,148.66666666666666,35.23256069793017,61.1370699477409,236.19626338559243,student_t_over_independent_seeds,3,"[0, 1, 2]","[138.0, 188.0, 120.0]"
colored_rotation_cnn,colored_rotation,validation,fp,178.0,38.301436004411116,82.84627910060478,273.15372089939524,student_t_over_independent_seeds,3,"[0, 1, 2]","[187.0, 136.0, 211.0]"
colored_rotation_cnn,colored_rotation,validation,log_loss,0.6367992256754442,0.014825693484616702,0.5999671888867262,0.6736312624641623,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.6346067692863244, 0.6231918475594366, 0.6525990601805717]"
colored_rotation_cnn,colored_rotation,validation,n,1000.0,0.0,1000.0,1000.0,student_t_over_independent_seeds,3,"[0, 1, 2]","[1000.0, 1000.0, 1000.0]"
colored_rotation_cnn,colored_rotation,validation,threshold,0.5,0.0,0.5,0.5,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.5, 0.5, 0.5]"
colored_rotation_cnn,colored_rotation,validation,tn,322.0,38.301436004411116,226.84627910060476,417.15372089939524,student_t_over_independent_seeds,3,"[0, 1, 2]","[313.0, 364.0, 289.0]"
colored_rotation_cnn,colored_rotation,validation,tp,351.3333333333333,35.23256069793017,263.80373661440757,438.86293005225906,student_t_over_independent_seeds,3,"[0, 1, 2]","[362.0, 312.0, 380.0]"
colored_rotation_orbit_flow,colored_rotation,validation,velocity_mse,0.4902190685272217,0.024076515531168772,0.430404861069858,0.5500332759845854,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.48496985137462617, 0.516487130522728, 0.4692002236843109]"
colored_rotation_vit,colored_rotation,test_id,accuracy,0.564,0.020074859899884685,0.514127258523986,0.6138727414760139,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.573, 0.578, 0.541]"
colored_rotation_vit,colored_rotation,test_id,accuracy_ci95_high,0.5944151064230477,0.019851937551003077,0.5450961794558494,0.643734033390246,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.6033208895009023, 0.6082546913527831, 0.5716697384154579]"
colored_rotation_vit,colored_rotation,test_id,accuracy_ci95_low,0.5330950684908011,0.02014414041498807,0.48305021078402355,0.5831399261975787,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.5421204037602065, 0.5471483343234702, 0.5100164673887266]"
