model,router_mode,metric,n_seeds,mean,std,ci95_low,ci95_high,ci95_low_display,ci95_high_display
maze_moe,learned,activation_time_mae_normalized,3,0.06870006144046784,0.0021381262470758005,0.06338823271063923,0.07401189017029641,0.06338823271063923,0.07401189017029641
maze_moe,learned,endpoint_iou,3,0.978597092628479,0.005334933398719102,0.9653433137471829,0.991850871509775,0.9653433137471829,0.991850871509775
maze_moe,learned,endpoint_mse,3,0.00548229633209606,0.0013101762865250955,0.002227375323843076,0.008737217340349044,0.002227375323843076,0.008737217340349044
maze_moe,learned,future_path_activation_rate_at_0_1,3,0.398692505757014,0.04288244546375132,0.29215800802509095,0.5052270034889369,0.29215800802509095,0.5052270034889369
maze_moe,learned,future_path_activation_rate_at_0_5,3,0.15880188594261804,0.020552813740740902,0.10774174547795028,0.2098620264072858,0.10774174547795028,0.2098620264072858
maze_moe,learned,future_path_mean_intensity,3,0.18940762241681416,0.02090991808882836,0.1374603139758345,0.2413549308577939,0.1374603139758345,0.2413549308577939
maze_moe,learned,goal_reached,3,1.0,0.0,1.0,1.0,1.0,1.0
maze_moe,learned,intermediate_prefix_iou,3,0.8376957750320434,0.0029957990483328602,0.8302531969918125,0.8451383530722743,0.8302531969918125,0.8451383530722743
maze_moe,learned,missed_path_activation_rate,3,0.007200449993057798,0.003395106258487888,-0.0012341422062200702,0.015635042192335667,0.0,0.015635042192335667
maze_moe,learned,monotonicity_violation_rate,3,0.0010828400130655307,0.0007525817677633429,-0.0007868276274761788,0.0029525076536072396,0.0,0.0029525076536072396
maze_moe,learned,obstacle_violation_rate,3,0.0,0.0,0.0,0.0,0.0,0.0
maze_moe,learned,off_path_activation_rate_at_0_1,3,0.016674222809573015,0.0037006959941754767,0.007480442353855154,0.02586800326529087,0.007480442353855154,0.02586800326529087
maze_moe,learned,path_precision,3,0.9855287424723308,0.003246637440434848,0.9774629970304867,0.9935944879141749,0.9774629970304867,0.9935944879141749
maze_moe,learned,path_recall,3,0.9926724894841512,0.0034058154995881174,0.9842112919080259,1.0011336870602765,0.9842112919080259,1.0
maze_moe,learned,premature_activation_rate,3,0.34287992437680564,0.038434702410931366,0.2473951246518063,0.438364724101805,0.2473951246518063,0.438364724101805
maze_moe,learned,router_entropy,3,0.6828075051307678,0.011961152453406404,0.6530919570751944,0.7125230531863412,0.6530919570751944,0.6931471805599453
maze_moe,learned,router_tetris_weight,3,0.5284653973579407,0.06405408930886851,0.3693333758885874,0.6875974188272939,0.3693333758885874,0.6875974188272939
maze_moe,learned,router_tetris_weight_on_path,3,0.5350324773788452,0.06035487249941078,0.38509056157009836,0.684974393187592,0.38509056157009836,0.684974393187592
maze_moe,learned,router_tetris_weight_on_walls,3,0.5258855183919271,0.06608032892513827,0.3617196324246572,0.690051404359197,0.3617196324246572,0.690051404359197
maze_moe,learned,trajectory_mse,3,0.009436577185988426,0.000754780527347133,0.00756144708300179,0.011311707288975062,0.00756144708300179,0.011311707288975062
maze_moe,tetris_only,activation_time_mae_normalized,3,0.280498036245505,0.17168373478293786,-0.14602242582333302,0.707018498314343,0.0,0.707018498314343
maze_moe,tetris_only,endpoint_iou,3,0.5741167652606964,0.2744975001443306,-0.10782786243700127,1.2560613929583941,0.0,1.0
maze_moe,tetris_only,endpoint_mse,3,0.08981993980705738,0.058671120681220934,-0.05593896702642717,0.23557884664054193,0.0,0.23557884664054193
maze_moe,tetris_only,future_path_activation_rate_at_0_1,3,0.3257704722881317,0.03344387500410785,0.2426845757810494,0.40885636879521403,0.2426845757810494,0.40885636879521403
maze_moe,tetris_only,future_path_activation_rate_at_0_5,3,0.10892549832661946,0.027389554121035626,0.040880582514801075,0.17697041413843784,0.040880582514801075,0.17697041413843784
maze_moe,tetris_only,future_path_mean_intensity,3,0.14784807483355206,0.022058176147605833,0.09304810502413671,0.20264804464296735,0.09304810502413671,0.20264804464296735
maze_moe,tetris_only,goal_reached,3,0.8033333333333333,0.3406366588218792,-0.042923333333333424,1.6495900000000001,0.0,1.0
maze_moe,tetris_only,intermediate_prefix_iou,3,0.43641903599103293,0.3321409790472894,-0.38873148880594377,1.2615695607880095,0.0,1.0
maze_moe,tetris_only,missed_path_activation_rate,3,0.3384901097913583,0.22285016047945969,-0.21514505861866667,0.8921252782013831,0.0,0.8921252782013831
maze_moe,tetris_only,monotonicity_violation_rate,3,0.004559578474145383,0.0022750038030481387,-0.0010923003978471502,0.010211457346137915,0.0,0.010211457346137915
